Generated by http://statistics.gov.scot,2021-01-22T16:39:32+00:00
http://statistics.gov.scot/data/local-authority-services-and-performance---shs,Local Authority Services and Performance - Scottish Household Survey
measure type,Percent
Age,All
Gender,All
Local Authority Services and Performance,I can influence decisions affecting my local area
SIMD quintiles,All
Urban Rural Classification,All
Measure (cell values): ,Percent(Percent Of Adults)

,,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019
http://purl.org/linked-data/sdmx/2009/dimension#ref
Area,Reference Area,2012,2013,2014,2015,2016,2017,2018,2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,21,22,23,24,23,23,20,18
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,23,25,20,26,34,30,21,13
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,14,25,23,21,27,34,21,18
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,20,19,17,20,12,18,17,16
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,29,21,19,15,25,13,16,15
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,24,23,21,23,23,23,24,18
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,14,20,29,29,13,17,21,18
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,18,16,20,22,11,13,14,13
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,20,24,26,26,28,28,18,27
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,13,11,19,13,11,15,12,17
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,22,24,28,22,22,18,15,12
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,24,29,31,30,27,23,34,22
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,28,24,24,26,36,24,23,16
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,16,23,30,22,14,36,22,13
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,26,23,29,26,27,29,29,24
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,23,27,29,31,31,23,20,17
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,26,16,18,29,29,23,20,23
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,14,22,19,17,19,21,15,15
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,24,21,22,21,21,22,20,14
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,19,26,21,22,26,24,18,15
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,27,23,30,32,24,14,11,16
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,6,15,14,15,20,11,16,12
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,25,17,17,22,19,17,16,15
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,19,23,19,19,30,24,32,31
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,23,24,35,35,24,25,23,27
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,20,22,23,24,21,24,18,11
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,17,21,17,17,14,21,17,15
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,28,32,26,28,27,32,25,27
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,14,15,10,10,11,5,12,7
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,23,16,21,19,18,16,17,21
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,24,33,33,32,23,25,24,32
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,19,22,15,24,18,16,13,13
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,25,26,25,14,18,35,24,20
