date_code,sex,avg_life_expectancy
1991-1993,Female,77.53099290780142
1991-1993,Male,71.90567375886525
1992-1994,Female,77.65489361702127
1992-1994,Male,72.11553191489362
1993-1995,Female,77.8040425531915
1993-1995,Male,72.32687943262411
1994-1996,Female,78.13843971631205
1994-1996,Male,72.5395744680851
1995-1997,Female,78.28645390070922
1995-1997,Male,72.6681560283688
1996-1998,Female,78.43560283687943
1996-1998,Male,72.79666666666667
1997-1999,Female,78.6113475177305
1997-1999,Male,73.06567375886524
1998-2000,Female,78.8913475177305
1998-2000,Male,73.36304964539008
1999-2001,Female,79.07382978723405
1999-2001,Male,73.63716312056738
2000-2002,Female,79.2686524822695
2000-2002,Male,73.82375886524822
2001-2003,Female,79.2251282051282
2001-2003,Male,73.8900641025641
2002-2004,Female,79.36423076923077
2002-2004,Male,74.19416666666666
2003-2005,Female,79.56378205128205
2003-2005,Male,74.60621794871795
2004-2006,Female,79.85378205128205
2004-2006,Male,75.005
2005-2007,Female,80.05615384615385
2005-2007,Male,75.12128205128205
2006-2008,Female,80.20628205128205
2006-2008,Male,75.29955128205128
2007-2009,Female,80.45429487179487
2007-2009,Male,75.67288461538462
2008-2010,Female,80.62
2008-2010,Male,76.19301282051282
2009-2011,Female,80.85461538461539
2009-2011,Male,76.68948717948717
2010-2012,Female,80.96916666666667
2010-2012,Male,76.97641025641026
2011-2013,Female,81.17788461538461
2011-2013,Male,77.21916666666667
2012-2014,Female,81.37737179487179
2012-2014,Male,77.4448717948718
2013-2015,Female,81.42685897435898
2013-2015,Male,77.44410256410256
2014-2016,Female,81.14740458015267
2014-2016,Male,77.236819338422393
2015-2017,Female,81.22501272264631
2015-2017,Male,77.16908396946565
2016-2018,Female,81.23656488549618
2016-2018,Male,77.23055979643766
